code,flour-c,sugar-c,salt-tsp,yeast-tsp,milk-c,water-c,oil-c,eggs,baking-powder-tsp,baking-soda-tsp,butter-c,label
CO21,0.472255018,0.295159386,0.003541913,0,0,0,0,0.047225502,0,0.00472255,0.177095632,cookie
CO22,0.574162679,0.19138756,0.001913876,0,0,0,0,0.038277512,0.002870813,0,0.19138756,cookie
CO23,0.497512438,0.373134328,0.002487562,0,0,0,0,0,0,0.002487562,0.124378109,cookie
CO24,0.548042705,0.200177936,0.00088968,0,0,0,0,0.071174377,0,0.001779359,0.177935943,cookie
CO25,0.573613767,0.191204589,0.001912046,0,0,0,0,0.038240918,0,0.003824092,0.191204589,cookie
CO26,0.463678516,0.231839258,0.001545595,0,0,0,0,0.061823802,0.00927357,0,0.231839258,cookie
CO27,0.448613377,0.244698206,0,0,0,0,0,0.13050571,0.006525285,0.006525285,0.163132137,cookie
CO28,0.548042705,0.200177936,0.00088968,0,0,0,0,0.071174377,0,0.001779359,0.177935943,cookie
CO29,0.475059382,0.237529691,0.003167063,0,0.019794141,0,0,0.063341251,0,0.003167063,0.197941409,cookie
CO30,0.477099237,0.286259542,0.003816794,0,0,0,0,0.038167939,0,0.003816794,0.190839695,cookie
CO31,0.377269512,0.298042914,0.003772695,0,0.005894836,0,0,0.075453902,0,0.003772695,0.235793445,cookie
CO32,0.457634409,0.285591398,0.00172043,0,0.010752688,0,0,0.068817204,0,0.00344086,0.172043011,cookie
CO33,0.434362934,0.28957529,0.003861004,0,0,0,0,0.077220077,0,0.001930502,0.193050193,cookie
